AI,302000
AI,302004
AI,302005
AI,302006
AI,302007
AI,302008
AI,302009
AI,302010
AI,302011
AI,302012
AI,302016
AI,303000
AI,303004
AI,303005
AI,303006
AI,303007
AI,303008
AI,303009
AI,303010
AI,303011
AI,303012
AI,303016
AI,304000
AI,304004
AI,304005
AI,304006
AI,304007
AI,304008
AI,304009
AI,304010
AI,304011
AI,304012
AI,304016
AI,305000
AI,305004
AI,305005
AI,305006
AI,305007
AI,305008
AI,305009
AI,305010
AI,305011
AI,305012
AI,305016
AI,306000
AI,306004
AI,306005
AI,306006
AI,306007
AI,306008
AI,306009
AI,306010
AI,306011
AI,306012
AI,306016
AV,1000
AV,1001
AV,1002
AV,1003
AV,1004
AV,1005
AV,1006
AV,1010
AV,1011
AV,1012
AV,1013
AV,1014
AV,1015
AV,1016
AV,1020
AV,1021
AV,1022
AV,1023
AV,1024
AV,1025
AV,1026
AV,1030
AV,1031
AV,1032
AV,1033
AV,1034
AV,1035
AV,1036
AV,1040
AV,1041
AV,1042
AV,1043
AV,1044
AV,1045
AV,1046
AV,302000
AV,302001
AV,302002
AV,302004
AV,302005
AV,302008
AV,302009
AV,302033
AV,302036
AV,302038
AV,302039
AV,303000
AV,303001
AV,303002
AV,303004
AV,303005
AV,303008
AV,303009
AV,303033
AV,303036
AV,303038
AV,303039
AV,304000
AV,304001
AV,304002
AV,304004
AV,304005
AV,304008
AV,304009
AV,304033
AV,304036
AV,304038
AV,304039
AV,305000
AV,305001
AV,305002
AV,305004
AV,305005
AV,305008
AV,305009
AV,305033
AV,305036
AV,305038
AV,305039
AV,306000
AV,306001
AV,306002
AV,306004
AV,306005
AV,306008
AV,306009
AV,306033
AV,306036
AV,306038
AV,306039
DER,1
DER,10
DER,11
DER,12
DER,13
DER,14
DER,15
DER,16
DER,17
DER,18
DER,19
DER,2
DER,20
DER,21
DER,22
DER,23
DER,24
DER,25
DER,26
DER,27
DER,3
DER,4
DER,5
DER,6
DER,7
DER,8
DER,9
MIC,1
MIC,2
MIC,3
MOC,1
MV,302003
MV,302006
MV,302024
MV,303003
MV,303006
MV,303024
MV,304003
MV,304006
MV,304024
MV,305003
MV,305006
MV,305024
MV,306003
MV,306006
MV,306024
